,total_return,cagr,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,total_turnover,average_turnover
HAA Gross,8.422726983515094,0.11272888593863128,0.11574334832217445,0.13063751304755988,0.8859886078820018,-0.25338027306232114,89.0,0.3531746031746032
HAA Net,8.015576853870131,0.11039086920020869,0.11362430070312685,0.13064667772314922,0.8697067746636912,-0.25828068061079124,89.0,0.3531746031746032
VTI Buy and Hold,7.302023784954866,0.10603957178107759,0.11302709502568417,0.15312581426472224,0.7381322056533469,-0.5084334159561781,,
