,total_return,cagr,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,total_turnover,average_turnover
HAA Market-Cap Net,8.015576853870117,0.11039086920020846,0.11362430070312665,0.13064667772314914,0.8697067746636903,-0.2582806806107908,89.0,0.3531746031746032
Sector Top-1 Net,8.327363618057893,0.11219002484575458,0.12306518516312531,0.18061291904861496,0.6813753180634895,-0.3425064637154853,111.0,0.44047619047619047
Sector Top-2 Net,9.659702491491784,0.11928386201204355,0.12596219037072398,0.15970996054427994,0.7886933910787653,-0.40672249375830327,83.0,0.32936507936507936
VTI Buy and Hold,7.302023784954905,0.10603957178107803,0.113027095025684,0.1531258142647221,0.7381322056533465,-0.5084334159561776,,
SPY Buy and Hold,7.316842515774637,0.10613350290901225,0.11233440828460478,0.14808117417137848,0.7586001996080677,-0.5078481072944973,,
