,total_return,cagr,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,total_turnover,average_turnover
Sector Top-2 SHY Gross,10.381433539699222,0.12278110050743352,0.12726238104954973,0.14793092598776608,0.8602824608836313,-0.31369491604683153,72.5,0.2876984126984127
Sector Top-2 SHY Net,9.981281463205669,0.12086912353640766,0.12553619057335927,0.147884315709677,0.848881032250972,-0.3156484539877168,72.5,0.2876984126984127
VTI Buy and Hold,7.302022998286333,0.10603956679040372,0.11302708798360103,0.1531258025396534,0.7381322161843467,-0.5084331404056925,,
SPY Buy and Hold,7.316839403805465,0.10613348319998739,0.11233439284633323,0.14808118762724562,0.7586000264199981,-0.5078481404698286,,
