Date,Walk-Forward Selected by Sharpe,Walk-Forward Selected by CAGR,HAA Market-Cap Net,Sector Top-1 Net,Sector Top-2 Net,Sector Top-2 SHY Net,VTI Buy and Hold,SPY Buy and Hold
2015-01-31,-0.0700515713947677,-0.0700515713947677,-0.0296293986186997,-0.0700515713947677,-0.0523090266937379,-0.0523090266937379,-0.0273585657488112,-0.0296293986186997
2015-02-28,0.0849412211845125,0.0849412211845125,0.0497930418676452,0.0849412211845125,0.0824454547004344,0.0824454547004344,0.057420185306042,0.0562046127315851
2015-03-31,-0.0048304038740744,-0.0048304038740744,-0.0162055804561662,-0.0048304038740744,-0.0195927994864782,-0.0195927994864782,-0.0116290778857771,-0.0157055804561662
2015-04-30,-0.0005303371630247,-0.0005303371630247,-0.0152527117346923,-0.0005303371630247,0.0134896871423504,0.0134896871423504,0.0061539712329599,0.0098340460189592
2015-05-31,0.0131455510902762,0.0131455510902762,0.0123557744104089,0.0131455510902762,0.0158494072298349,0.0158494072298349,0.0129738204714957,0.0128557744104089
2015-06-30,-0.0044201273515521,-0.0044201273515521,-0.00018143389212,-0.0044201273515521,-0.0116321071345675,-0.00018143389212,-0.0167489440629896,-0.0203119421384412
2015-07-31,0.0295737061592058,0.0295737061592058,0.0004477719068678,0.0295737061592058,0.0432533496102399,0.0004477719068678,0.0170063832951201,0.0225893805124051
2015-08-31,-0.0796447529310908,-0.0796447529310908,-0.0004947017137407,-0.0796447529310908,-0.0696375426270963,-0.0004947017137407,-0.0609150403252128,-0.0609503217882771
2015-09-30,0.0024505750247666,0.0024505750247666,0.0029505750247666,0.0024505750247666,-0.0272888307634655,0.0029505750247666,-0.0292298715880094,-0.025515821666732
2015-10-31,0.0101253036425945,0.0101253036425945,-0.0014128669991396,0.0101253036425945,0.0333143584525988,-0.0014128669991396,0.0791128454968901,0.0850597788418006
2015-11-30,-0.0097219280329127,-0.0097219280329127,-0.0025835197658943,-0.0097219280329127,-0.0064728157000027,-0.0025835197658943,0.006007703406909,0.0036550693970203
2015-12-31,0.0291765772493779,0.0291765772493779,-0.0014907175884445,0.0291765772493779,0.0232023439824877,-0.0014907175884445,-0.0212343084189441,-0.0172826053291537
2016-01-31,0.0065200154021691,0.0053473574022204,0.0065200154021691,0.0053473574022204,-0.0359212339019572,0.0065200154021691,-0.0572391102489809,-0.0497866157265776
2016-02-29,0.0011198512526033,0.0031523878416046,0.0011198512526033,0.0031523878416046,0.0110135089955976,0.0011198512526033,-0.0001014835872777,-0.0008260179683433
2016-03-31,0.0667660130858298,0.0692356592405575,0.0667660130858298,0.0692356592405575,0.0784759306249181,0.0784759306249181,0.0710988539449737,0.0672660130858298
2016-04-30,0.0039414106580875,-0.0507704021200192,0.0039414106580875,-0.0507704021200192,-0.018915724852665,-0.018915724852665,0.0065826838223859,0.0039414106580875
2016-05-31,0.0155642513982527,-0.004773466832222,0.0155642513982527,-0.004773466832222,-0.0021340699104823,-0.0021340699104823,0.0173442950015405,0.0170116661049375
2016-06-30,0.0041663651897487,-0.0142779005666479,0.0041663651897487,-0.0142779005666479,-0.0035731708487893,-0.0035731708487893,0.0027343016307337,0.0034755792567737
2016-07-31,0.042427494825741,-0.0131023928158465,0.042427494825741,-0.0131023928158465,0.0115706057495208,0.0115706057495208,0.039753941439985,0.0364714685183127
2016-08-31,0.01351521360132,0.0111253938787778,0.01351521360132,0.0111253938787778,0.0103008336038155,0.0103008336038155,0.0020639174035019,0.0011977128856894
2016-09-30,0.0063203394868833,0.0210179729551192,0.0063203394868833,0.0210179729551192,0.0114396756174883,0.0114396756174883,0.0019912778092003,5.784863402236162e-05
2016-10-31,-0.0441400515270381,-0.0075345808235802,-0.0441400515270381,-0.0075345808235802,-0.0181088773030844,-0.0181088773030844,-0.0219167900450157,-0.0173371061864793
2016-11-30,0.0363384509727959,0.0016871120463286,0.0363384509727959,0.0016871120463286,0.0707556201572926,0.0707556201572926,0.044907642897036,0.0368384509727959
2016-12-31,0.0333578779582667,0.0370646969093639,0.0333578779582667,0.0370646969093639,0.0200627467033614,0.0200627467033614,0.0198667795774352,0.0202717664609688
2017-01-31,-0.005817264189584,0.0025805435719183,-0.005817264189584,0.0025805435719183,-0.0150241933926093,-0.0150241933926093,0.0185569720088496,0.017894493780572
