Date,Top-2 SHY Canary=TIP,Top-2 SHY Canary=SPY,Top-2 SHY Canary=VTI,Top-2 SHY Canary=SHY,VTI Buy and Hold,SPY Buy and Hold
2005-01-31,-0.004961530623896593,-0.004961530623896593,-0.004961530623896593,-0.004961530623896593,-0.02498949390219929,-0.022421419374030305
2005-02-28,0.08943317015984728,0.08943317015984728,0.08943317015984728,0.08943317015984728,0.02085120117057193,0.020904560350385015
2005-03-31,-0.009766340949520669,-0.009766340949520669,-0.009766340949520669,-0.0003392191980625121,-0.018719614006671437,-0.01829343562682928
2005-04-30,-0.04529717930078886,-0.04529717930078886,-0.04529717930078886,0.005205900364601668,-0.022026588567567895,-0.018734858557661105
2005-05-31,0.029792774775410424,0.029792774775410424,0.029792774775410424,0.029292774775410424,0.03881406435583301,0.03222403783638739
2005-06-30,0.021725619688518993,0.021725619688518993,0.021725619688518993,0.021725619688518993,0.007582353926454566,0.0015154547254954132
2005-07-31,0.04298785738856689,0.04298785738856689,0.04298785738856689,0.04298785738856689,0.043783204114407503,0.03826180208633145
2005-08-31,0.015227625644967685,0.015227625644967685,0.015227625644967685,0.015227625644967685,-0.010875513623175737,-0.009374872238504639
2005-09-30,0.03238093683228979,0.03238093683228979,0.03238093683228979,0.03238093683228979,0.00791671512870118,0.008025252839526154
2005-10-31,-0.056666758770162584,-0.056666758770162584,-0.056666758770162584,-0.056666758770162584,-0.02348581880637879,-0.02365032287453983
2005-11-30,0.031059566447605297,0.031059566447605297,0.031059566447605297,0.031059566447605297,0.04616014820672043,0.043952068315397996
2005-12-31,0.009099899507429954,0.009099899507429954,0.009099899507429954,0.009099899507429954,0.0001767008121817959,-0.0019137381227464223
2006-01-31,0.07746737200227394,0.07746737200227394,0.07746737200227394,0.07746737200227394,0.032189966700188144,0.02401430912336
2006-02-28,-0.035490667002118004,-0.035490667002118004,-0.035490667002118004,-0.035490667002118004,0.0021993450497594935,0.005725209465684333
2006-03-31,0.023313570479936957,0.023313570479936957,0.023313570479936957,0.023313570479936957,0.020505237314846214,0.016503558113720063
2006-04-30,0.0017079385865483303,0.03573244551001517,0.03573244551001517,0.03573244551001517,0.009562579454555076,0.012632510129091168
2006-05-31,0.001669066846427647,-0.022456290941408386,-0.022456290941408386,-0.022456290941408386,-0.03223593861079743,-0.030121244082895626
2006-06-30,0.0023654598198565857,0.012048100477546786,0.012048100477546786,0.012048100477546786,0.0013236458405621043,0.0026086793505457617
2006-07-31,0.006648657436213901,-0.011653489583241805,-0.011653489583241805,-0.011653489583241805,-0.0011874279704277013,0.004478107171074219
2006-08-31,-0.020009943411216702,-0.0197599434112167,-0.0197599434112167,-0.0197599434112167,0.022986565973902806,0.021822589499392864
2006-09-30,0.001831782522747849,0.001831782522747849,0.001831782522747849,0.001831782522747849,0.02260005453327274,0.027001164635070518
2006-10-31,0.04378044750973539,0.04378044750973539,0.04378044750973539,0.04378044750973539,0.03530150423774647,0.031516987153903164
2006-11-30,0.020276213752646294,0.020276213752646294,0.020276213752646294,0.020276213752646294,0.023294808779465326,0.019885566834587642
2006-12-31,-0.0034942640504496414,-0.0034942640504496414,-0.0034942640504496414,-0.0034942640504496414,0.012015408015823459,0.01337082922184507
2007-01-31,0.0011258467715137836,0.018715281149221358,0.018715281149221358,0.018715281149221358,0.018614697669487867,0.015040358381005925
2007-02-28,-0.030689220742954604,-0.030189220742954603,-0.030189220742954603,-0.030189220742954603,-0.016243852320144025,-0.01961738279425429
2007-03-31,0.001446004446963273,0.001446004446963273,0.001446004446963273,0.001446004446963273,0.011209101552733136,0.011589024242320667
2007-04-30,0.03721310693756383,0.03721310693756383,0.03721310693756383,0.03721310693756383,0.04022057020553471,0.0442956921135893
2007-05-31,0.06458936221651532,0.06458936221651532,0.06458936221651532,0.06458936221651532,0.03723851014675783,0.03391980437417619
2007-06-30,0.005643504257036663,0.005643504257036663,0.005643504257036663,0.005643504257036663,-0.017627625682866355,-0.014620709244828611
2007-07-31,-0.0009038496029428189,-0.0009038496029428189,-0.0009038496029428189,-0.0009038496029428189,-0.035346356982933536,-0.03131023044629955
