Date,HAA Gross,HAA Net,VTI Buy and Hold
2005-01-31,-0.022432585446665154,-0.022932585446665155,-0.02498949390219929
2005-02-28,0.027913917983263703,0.027913917983263703,0.02085120117057193
2005-03-31,-0.025435071140246346,-0.025435071140246346,-0.018719614006671437
2005-04-30,-0.03712650537336948,-0.03762650537336948,-0.022026588567567895
2005-05-31,0.05710339180558477,0.05710339180558477,0.03881406435583301
2005-06-30,0.025972865172765758,0.025972865172765758,0.007582353926454566
2005-07-31,0.0513375915192642,0.0513375915192642,0.043783204114407503
2005-08-31,-0.016267435742891134,-0.016767435742891135,-0.010875513623175737
2005-09-30,0.007224601744004078,0.007224601744004078,0.00791671512870118
2005-10-31,-0.029941677782539866,-0.030441677782539867,-0.02348581880637879
2005-11-30,0.05669283459906915,0.05669283459906915,0.04616014820672043
2005-12-31,0.0063390043877114,0.0063390043877114,0.0001767008121817959
2006-01-31,0.05330711624446871,0.05330711624446871,0.032189966700188144
2006-02-28,-0.0047970474671145125,-0.005297047467114513,0.0021993450497594935
2006-03-31,0.025985112930819287,0.025485112930819287,0.020505237314846214
2006-04-30,0.0022079385865483303,0.0017079385865483303,0.009562579454555076
2006-05-31,0.001669066846427647,0.001669066846427647,-0.03223593861079743
2006-06-30,0.0023654598198565857,0.0023654598198565857,0.0013236458405621043
2006-07-31,0.006648657436213901,0.006648657436213901,-0.0011874279704277013
2006-08-31,0.021822589499392864,0.021322589499392863,0.022986565973902806
2006-09-30,0.027001164635070518,0.027001164635070518,0.02260005453327274
2006-10-31,0.031516987153903164,0.031516987153903164,0.03530150423774647
2006-11-30,0.019885566834587642,0.019885566834587642,0.023294808779465326
2006-12-31,0.01337082922184507,0.01337082922184507,0.012015408015823459
2007-01-31,0.0016258467715137837,0.0011258467715137836,0.018614697669487867
2007-02-28,-0.01961738279425429,-0.02011738279425429,-0.016243852320144025
2007-03-31,0.013119808666922639,0.012619808666922638,0.011209101552733136
2007-04-30,0.027689597190884596,0.027689597190884596,0.04022057020553471
2007-05-31,0.03391980437417619,0.03341980437417619,0.03723851014675783
2007-06-30,-0.02173952051893213,-0.022239520518932132,-0.017627625682866355
2007-07-31,-0.0469466619961989,-0.0469466619961989,-0.035346356982933536
2007-08-31,0.01283307579520776,0.01233307579520776,0.014711880473881278
2007-09-30,0.03871443097588445,0.03871443097588445,0.03846748004240452
2007-10-31,0.013566304795971096,0.013566304795971096,0.0179231686569028
2007-11-30,-0.04927655776120787,-0.049776557761207874,-0.04522135446726039
2007-12-31,-0.011261106276478028,-0.011761106276478028,-0.006944964813378807
2008-01-31,-0.06002626454077953,-0.06052626454077953,-0.061659990559079114
2008-02-29,-0.02584273132342485,-0.02634273132342485,-0.024964212331155533
2008-03-31,-0.018607635781693777,-0.019107635781693777,-0.008946166761381824
2008-04-30,0.04766281462763122,0.04716281462763122,0.04885511781536578
2008-05-31,0.054351646122899666,0.053851646122899666,0.020159889387659558
2008-06-30,-0.0710334954684394,-0.0710334954684394,-0.08120771561925455
2008-07-31,-0.018213111203968624,-0.018213111203968624,-0.006241463337011477
2008-08-31,0.04289669452103895,0.04239669452103895,0.014602277309142542
2008-09-30,-0.06655621199248363,-0.06655621199248363,-0.09241071196138873
2008-10-31,0.01104798504830029,0.01054798504830029,-0.17477750677256576
2008-11-30,0.011052278547304839,0.011052278547304839,-0.08014941153647881
2008-12-31,0.005630030778253525,0.005630030778253525,0.01766131699600204
2009-01-31,-0.1168982471815887,-0.1173982471815887,-0.08046511633303888
2009-02-28,-0.0014487772692983736,-0.0019487772692983736,-0.10525028346411303
2009-03-31,0.0049940000084607306,0.0049940000084607306,0.08272216420367973
2009-04-30,0.14775938995959215,0.14725938995959215,0.10990395780439965
2009-05-31,0.02940563526964568,0.02940563526964568,0.054632269418690704
2009-06-30,0.008851104644780783,0.008851104644780783,0.0036735217113010865
2009-07-31,0.08327004746818933,0.08327004746818933,0.07737138842975955
2009-08-31,0.023790465479260003,0.023290465479260003,0.03711131057139716
2009-09-30,0.056521716492138774,0.05602171649213877,0.041335064239706565
2009-10-31,-0.04510278957883207,-0.04510278957883207,-0.02631104013233565
2009-11-30,0.04196645939390242,0.04196645939390242,0.056919042574929524
2009-12-31,0.060950569366296614,0.060950569366296614,0.02863066121112623
2010-01-31,-0.03218462175307857,-0.03218462175307857,-0.035657068232017974
2010-02-28,0.05058816065749561,0.05058816065749561,0.03440025262484259
2010-03-31,0.0717015620154049,0.0717015620154049,0.06395805752084094
2010-04-30,0.058199775817366683,0.05769977581736668,0.02181543413149023
2010-05-31,-0.07153044409647002,-0.07153044409647002,-0.0788306278074512
2010-06-30,-0.07097067519455391,-0.07097067519455391,-0.058405257568883484
2010-07-31,0.0680546804470541,0.0675546804470541,0.07020555269902218
2010-08-31,-0.04958299365851482,-0.04958299365851482,-0.04711107343608245
2010-09-30,0.11266406497544934,0.11266406497544934,0.09463681220603615
2010-10-31,0.033931284127026284,0.033931284127026284,0.040260283009122544
2010-11-30,0.029628865803261295,0.029628865803261295,0.005105552859415274
2010-12-31,0.07580177170672453,0.07530177170672453,0.06959390681899902
2011-01-31,0.001168538358247595,0.001168538358247595,0.020483323116444074
2011-02-28,0.045397184697471005,0.044897184697471004,0.036975555349568756
2011-03-31,0.025922987010433607,0.025922987010433607,0.004185486445449138
2011-04-30,0.026287899975946605,0.026287899975946605,0.02896189878007971
2011-05-31,-0.009171063262751078,-0.009171063262751078,-0.010608159006009088
2011-06-30,-0.025396894506215295,-0.025396894506215295,-0.017995296326405508
2011-07-31,-0.03460126744463332,-0.03460126744463332,-0.022660923519184695
2011-08-31,-0.07788712712956347,-0.07838712712956347,-0.06088285960474371
2011-09-30,-0.0694208756863206,-0.0699208756863206,-0.07571970928612715
2011-10-31,0.10914721548841655,0.10914721548841655,0.113651977197188
2011-11-30,0.006243528206262949,0.005743528206262949,-0.0037337012400506797
2011-12-31,0.01044854889611102,0.00994854889611102,0.009770866757925045
2012-01-31,0.06588577394344752,0.06538577394344752,0.05069989983101708
2012-02-29,0.02170380607575484,0.02170380607575484,0.04218483146992957
2012-03-31,0.03216388456107855,0.03166388456107855,0.03067737235002066
2012-04-30,-0.01362858354902774,-0.01412858354902774,-0.006366408674707724
2012-05-31,-0.0600558491296187,-0.0605558491296187,-0.062256231655175354
2012-06-30,0.04058120807844756,0.04058120807844756,0.0404515089487516
2012-07-31,0.011829715954315034,0.011829715954315034,0.008751300573171639
2012-08-31,0.02505243596349538,0.02505243596349538,0.027023797846724484
2012-09-30,0.025351231644098915,0.025351231644098915,0.024912746449295753
2012-10-31,-0.022706945454301297,-0.023206945454301298,-0.018057841526703422
2012-11-30,0.005660139467829728,0.005160139467829727,0.007743031265206257
2012-12-31,0.02286457316306656,0.02236457316306656,0.012928637489727057
2013-01-31,0.0708096144201924,0.0708096144201924,0.05417600689290447
2013-02-28,0.008297061851171073,0.008297061851171073,0.012815359135566196
2013-03-31,0.048432328326535545,0.048432328326535545,0.03948468817015205
2013-04-30,0.005960259955801961,0.005960259955801961,0.016057434903576917
2013-05-31,0.02289405790572907,0.02289405790572907,0.024434709863692117
2013-06-30,-0.0009833044107506739,-0.0014833044107506739,-0.014367098330123507
2013-07-31,0.0016255218692324824,0.0016255218692324824,0.05745729615041251
2013-08-31,-0.000971046924990171,-0.000971046924990171,-0.030313252500592358
2013-09-30,0.0022301508516251456,0.0022301508516251456,0.038971250996588935
