,total_return,cagr,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,total_turnover,average_turnover
Sector Rotation Gross,8.855418026284676,0.1151103827241109,0.12570804230598254,0.18060727499137835,0.6960297823660949,-0.3414832291175688,111.0,0.44047619047619047
Sector Rotation Net,8.32736361805789,0.11219002484575458,0.12306518516312541,0.18061291904861507,0.6813753180634896,-0.34250646371548543,111.0,0.44047619047619047
VTI Buy and Hold,7.302023784954866,0.10603957178107759,0.11302709502568417,0.15312581426472224,0.7381322056533469,-0.5084334159561781,,
SPY Buy and Hold,7.316842515774601,0.10613350290901202,0.11233440828460495,0.14808117417137862,0.7586001996080682,-0.5078481072944976,,
