Date,IJR,MDY,SHY,SPY,TIP,VTI,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2003-12-01,16.69134521484375,80.09892272949219,53.0816650390625,70.90576171875,,34.67365646362305,6.582087993621826,14.090392112731934,16.722410202026367,7.489772319793701,12.022826194763184,5.071594715118408,19.894912719726562,11.648454666137695
2003-12-02,16.659006118774414,80.13688659667969,53.139949798583984,70.72779083251953,,34.58686065673828,6.627354145050049,14.049224853515625,16.689754486083984,7.456240653991699,11.916333198547363,5.08074951171875,19.908601760864258,11.561043739318848
2003-12-03,16.35442543029785,79.225830078125,53.094600677490234,70.61579132080078,,34.46331787109375,6.59007453918457,14.023491859436035,16.702823638916016,7.430150985717773,11.921935081481934,5.071594715118408,19.956525802612305,11.515434265136719
2003-12-04,16.383020401000977,79.04360961914062,53.14645004272461,70.90576171875,,34.5901985168457,6.749833583831787,14.059516906738281,16.755098342895508,7.523308277130127,11.972381591796875,5.0830397605896,19.990751266479492,11.48883056640625
2003-12-05,16.211462020874023,78.35267639160156,53.3149299621582,70.4114990234375,50.17709732055664,34.29970932006836,6.797765731811523,13.946298599243164,16.630939483642578,7.3891682624816895,11.933148384094238,5.110502243041992,19.84014129638672,11.371021270751953
2003-12-08,16.32832145690918,78.95247650146484,53.25661087036133,70.88597106933594,50.13278579711914,34.58350372314453,6.872320175170898,14.074956893920898,16.78123664855957,7.407795429229736,11.961175918579102,5.124233722686768,19.990751266479492,11.420421600341797
2003-12-09,16.092111587524414,77.80607604980469,53.22420883178711,70.33900451660156,50.004676818847656,34.219566345214844,6.877642631530762,13.95144271850586,16.78123664855957,7.2475690841674805,11.916333198547363,5.08074951171875,19.908601760864258,11.363415718078613
2003-12-10,15.945415496826172,77.27456665039062,53.28902053833008,70.33244323730469,50.137672424316406,34.122745513916016,6.882965087890625,13.874252319335938,16.748552322387695,7.288552284240723,11.9275484085083,5.103636741638184,19.771677017211914,11.310208320617676
2003-12-11,16.30594825744629,78.69432830810547,53.39916229248047,71.12322235107422,50.33473205566406,34.580177307128906,6.917579174041748,14.033790588378906,17.009952545166016,7.426429748535156,11.921935081481934,5.126521587371826,20.018142700195312,11.485032081604004
2003-12-12,16.435243606567383,78.77787780761719,53.386199951171875,71.26160430908203,50.295310974121094,34.690364837646484,6.9947991371154785,14.074956893920898,17.03608512878418,7.433883190155029,12.000406265258789,5.137965202331543,20.07975196838379,11.545838356018066
2003-12-15,16.160608291625977,77.66941833496094,53.37321472167969,70.90576171875,50.18693923950195,34.41655349731445,6.906932830810547,14.038930892944336,17.05569839477539,7.340726375579834,11.921935081481934,5.119653701782227,20.0455322265625,11.496434211730957
2003-12-16,16.179285049438477,77.82882690429688,53.62370681762695,71.27477264404297,50.13278579711914,34.5901985168457,7.010771751403809,14.162439346313477,17.160249710083008,7.377988338470459,12.039645195007324,5.151695728302002,20.120824813842773,11.469832420349121
2003-12-17,16.247787475585938,78.04899597167969,53.630226135253906,71.49879455566406,50.11800003051758,34.690364837646484,7.077340126037598,14.110976219177246,17.179859161376953,7.3668060302734375,12.028432846069336,5.174584865570068,20.161907196044922,11.576242446899414
2003-12-18,16.430877685546875,79.157470703125,53.64318084716797,72.30279541015625,50.33473205566406,35.05759048461914,7.266390323638916,14.234490394592285,17.37589454650879,7.489772319793701,12.090096473693848,5.240955352783203,20.312522888183594,11.72446346282959
2003-12-19,16.464513778686523,78.88047790527344,53.65628433227539,72.10150909423828,50.31012725830078,35.00751876831055,7.253548622131348,14.277974128723145,17.389034271240234,7.463881492614746,12.045622825622559,5.252964019775391,20.280229568481445,11.760278701782227
2003-12-22,16.594039916992188,79.51969909667969,53.62370681762695,72.60468292236328,50.25590133666992,35.20600128173828,7.261577606201172,14.355623245239258,17.494104385375977,7.475141525268555,12.113163948059082,5.30147647857666,20.273361206054688,11.798389434814453
2003-12-23,16.689937591552734,79.97627258300781,53.53909683227539,72.6510238647461,50.004676818847656,35.340152740478516,7.210757255554199,14.376335144042969,17.533498764038086,7.535183429718018,12.11879825592041,5.329195022583008,20.287113189697266,11.836503028869629
2003-12-24,16.577850341796875,79.67185974121094,53.66279602050781,72.57820892333984,50.285499572753906,35.306636810302734,7.288322448730469,14.376335144042969,17.467836380004883,7.520167827606201,12.079397201538086,5.338436603546143,20.34893226623535,11.79076862335205
2003-12-26,16.687456130981445,79.70994567871094,53.708343505859375,72.63115692138672,50.37416076660156,35.306636810302734,7.317743301391602,14.37116813659668,17.43499755859375,7.535183429718018,12.090648651123047,5.345366954803467,20.403898239135742,11.844120025634766
2003-12-29,16.914138793945312,80.58496856689453,53.636695861816406,73.59784698486328,50.22638702392578,35.74248504638672,7.4033284187316895,14.567888259887695,17.658266067504883,7.6702728271484375,12.169459342956543,5.384634971618652,20.568769454956055,11.950825691223145
2003-12-30,16.939058303833008,80.7905044555664,53.66279602050781,73.61105346679688,50.093345642089844,35.79615783691406,7.419379234313965,14.598941802978516,17.553199768066406,7.659015655517578,12.186342239379883,5.398495197296143,20.623733520507812,11.912720680236816
2003-12-31,16.689937591552734,80.20453643798828,53.731834411621094,73.67727661132812,50.16584396362305,35.6955451965332,7.36855936050415,14.562707901000977,17.57290267944336,7.647757053375244,12.259515762329102,5.389256477355957,20.713048934936523,12.000367164611816
2004-01-02,16.772146224975586,80.47086334228516,53.6015510559082,73.6441879272461,50.05732345581055,35.719032287597656,7.36588716506958,14.5419921875,17.559764862060547,7.6852850914001465,12.113163948059082,5.375394821166992,20.761123657226562,11.897469520568848
2004-01-05,16.976415634155273,80.9274673461914,53.60807418823242,74.44529724121094,49.98829650878906,36.11803436279297,7.507638454437256,14.661060333251953,17.730501174926758,7.872912883758545,12.191969871520996,5.384634971618652,20.857324600219727,12.000367164611816
2004-01-06,16.93656349182129,80.9274673461914,53.6732292175293,74.51811218261719,50.30890655517578,36.24209976196289,7.499614715576172,14.655890464782715,17.704235076904297,7.944210052490234,12.220111846923828,5.3730854988098145,20.919147491455078,12.046096801757812
2004-01-07,17.06983184814453,81.57425689697266,53.71229553222656,74.76971435546875,50.34835433959961,36.34603500366211,7.422054290771484,14.666240692138672,17.730501174926758,7.981738090515137,12.169459342956543,5.400806903839111,21.049680709838867,12.09945011138916
2004-01-08,17.115909576416016,81.41447448730469,53.71875762939453,75.06766510009766,50.155967712402344,36.48015213012695,7.443447589874268,14.718009948730469,17.842138290405273,8.139348983764648,12.152572631835938,5.398495197296143,20.960363388061523,12.061341285705566
2004-01-09,16.96396827697754,81.30797576904297,53.8491325378418,74.41216278076172,50.535743713378906,36.245445251464844,7.480894088745117,14.666240692138672,17.664838790893555,8.030521392822266,12.062512397766113,5.38001823425293,20.829832077026367,12.011796951293945
2004-01-12,17.150789260864258,82.07648468017578,53.88166809082031,74.96174621582031,50.496315002441406,36.41310119628906,7.502290725708008,14.728363990783691,17.723941802978516,8.154356956481934,12.11879825592041,5.3777079582214355,20.79547882080078,11.985121726989746
2004-01-13,17.174449920654297,81.49817657470703,53.946861267089844,74.5247573852539,50.7429084777832,36.329288482666016,7.504968166351318,14.655890464782715,17.651704788208008,8.038025856018066,12.101910591125488,5.352297782897949,20.706172943115234,11.966066360473633
2004-01-14,17.28156280517578,82.0308609008789,53.894718170166016,75.14712524414062,50.75279235839844,36.59080123901367,7.4862446784973145,14.769777297973633,17.89468002319336,8.135597229003906,12.146942138671875,5.4169769287109375,20.822961807250977,12.061341285705566
2004-01-15,17.30274200439453,82.335205078125,53.888221740722656,75.33247375488281,50.81693649291992,36.74504089355469,7.360537052154541,14.89402961730957,17.920948028564453,8.169365882873535,12.15820026397705,5.398495197296143,20.8779239654541,12.095637321472168
2004-01-16,17.300247192382812,82.68525695800781,53.8491325378418,75.63042449951172,50.84157180786133,36.85568618774414,7.43007755279541,14.9406156539917,18.255859375,8.274438858032227,12.152572631835938,5.389256477355957,20.9260196685791,12.095637321472168
2004-01-20,17.48458480834961,83.46903228759766,53.87516403198242,75.61058044433594,50.79719161987305,36.949562072753906,7.617300033569336,14.919906616210938,18.032581329345703,8.293200492858887,12.113163948059082,5.42852783203125,20.857324600219727,12.007987976074219
2004-01-21,17.561803817749023,83.70492553710938,53.907772064208984,76.20646667480469,51.00432205200195,37.10715866088867,7.662765979766846,15.142523765563965,18.157352447509766,8.229408264160156,12.16383171081543,5.5232391357421875,21.20768165588379,12.156612396240234
2004-01-22,17.437259674072266,83.40816497802734,53.946861267089844,76.00782012939453,51.08818054199219,37.080322265625,7.625323295593262,15.142523765563965,18.07198143005371,8.150601387023926,12.124423027038574,5.544025421142578,21.248905181884766,12.251884460449219
2004-01-23,17.587970733642578,83.4385986328125,53.86861801147461,75.76286315917969,50.728084564208984,37.013282775878906,7.692191123962402,15.070034980773926,18.00631332397461,8.12433910369873,12.225743293762207,5.495518207550049,21.145854949951172,12.213776588439941
2004-01-26,17.743661880493164,84.12345886230469,53.8295783996582,76.71630859375,50.54071044921875,37.4022331237793,7.7376604080200195,15.277122497558594,18.236154556274414,8.274438858032227,12.343950271606445,5.463174819946289,21.413789749145508,12.236637115478516
2004-01-27,17.487075805664062,83.40055084228516,53.894718170166016,75.92837524414062,50.7429084777832,37.08368682861328,7.721611499786377,15.173583030700684,18.058855056762695,8.146852493286133,12.282034873962402,5.444695949554443,21.276386260986328,12.152803421020508
2004-01-28,17.250429153442383,82.25912475585938,53.757877349853516,75.06105041503906,50.535743713378906,36.61426544189453,7.611950874328613,14.904383659362793,17.776473999023438,8.011761665344238,12.15820026397705,5.465487003326416,21.090890884399414,11.863177299499512
2004-01-29,17.147048950195312,81.86343383789062,53.77094268798828,75.1338882446289,50.511104583740234,36.681331634521484,7.60660457611084,15.0286283493042,17.783042907714844,7.970476150512695,12.327064514160156,5.509376525878906,21.400039672851562,11.939396858215332
