,total_return,cagr,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,total_turnover,average_turnover
Sector Rotation Top-2 Gross,10.106413771029416,0.12147405541845746,0.12793838084691467,0.15973743631672138,0.8009292235869069,-0.40498804455569026,83.0,0.32936507936507936
Sector Rotation Top-2 Net,9.659702491491814,0.11928386201204377,0.1259621903707242,0.15970996054428005,0.788693391078766,-0.40672249375830327,83.0,0.32936507936507936
VTI Buy and Hold,7.302023784954866,0.10603957178107759,0.11302709502568417,0.15312581426472224,0.7381322056533469,-0.5084334159561781,,
SPY Buy and Hold,7.316842515774601,0.10613350290901202,0.11233440828460495,0.14808117417137862,0.7586001996080682,-0.5078481072944976,,
