,total_return,cagr,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,total_turnover,average_turnover
Top-2 SHY Canary=TIP,9.981281463205669,0.12086912353640766,0.12553619057335927,0.147884315709677,0.848881032250972,-0.3156484539877168,72.5,0.2876984126984127
Top-2 SHY Canary=SPY,9.199258775317896,0.11693288237667887,0.11908739895229446,0.12673803987247806,0.9396342177306706,-0.20251497750410286,72.5,0.2876984126984127
Top-2 SHY Canary=VTI,7.492803638499359,0.10723684140807777,0.11007984121145938,0.12501944011337665,0.8805017932541613,-0.20251497750410286,75.5,0.2996031746031746
Top-2 SHY Canary=SHY,7.259289557153037,0.10576779643710976,0.11457540186928743,0.16460194460514926,0.6960756274425152,-0.5421064181838411,68.5,0.2718253968253968
VTI Buy and Hold,7.302022998286333,0.10603956679040372,0.11302708798360103,0.1531258025396534,0.7381322161843467,-0.5084331404056925,,
SPY Buy and Hold,7.316839403805465,0.10613348319998739,0.11233439284633323,0.14808118762724562,0.7586000264199981,-0.5078481404698286,,
