,total_return,cagr,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,total_turnover,average_turnover
Walk-Forward Selected by Sharpe,2.6878526566509966,0.1259649436517567,0.12835650468666354,0.13630712825183505,0.9416712561761091,-0.19953597409827184,,
Walk-Forward Selected by CAGR,2.070428666350115,0.10736506742776397,0.11343495413958987,0.14946572491422153,0.758936232401711,-0.19953597409827173,,
HAA Market-Cap Net,2.302326328514215,0.1147191277675621,0.11615833071942125,0.11953835297093135,0.9717243698988219,-0.19447683514314384,,
Sector Top-1 Net,1.3449291745957237,0.08055818473312315,0.09126044351594396,0.1657967996801517,0.5504354950879619,-0.22830192880550404,,
Sector Top-2 Net,2.732503388818869,0.12719750589108858,0.13193661288114134,0.1533312957265798,0.8604676054939921,-0.19953597409827184,,
Sector Top-2 SHY Net,3.4216150499339335,0.14469339113485846,0.1449043294843969,0.13566251916554783,1.0681235346040665,-0.19953597409827173,,
VTI Buy and Hold,2.803011989568287,0.1291168313475528,0.1338548278145227,0.1538971729294009,0.8697679448337075,-0.24819143617686223,,
SPY Buy and Hold,2.9952894949229907,0.13419102112353354,0.13771230976779153,0.14955458653922216,0.9208163584583552,-0.23927196046704446,,
